"CYP1D1P"	"1863651"	"1"	"1881442"	"7"	
"TRNAC11"	"1860887"	"1"	"1881443"	"7"	
"RPSAP42"	"1870697"	"1"	"1881444"	"7"	
"C1ORF98"	"1840387"	"1"	"1881445"	"7"	
"HBD"	"1877385"	"1"	"1881446"	"3"	
"VN1R6P"	"1871007"	"1"	"1881447"	"6"	
"A2M"	"1843999"	"1"	"1881448"	"3"	
"CDC27"	"1863686"	"1"	"1881449"	"5"	
"LOC401557"	"1841660"	"1"	"1881450"	"9"	
"ELL2P2"	"1842274"	"1"	"1881451"	"6"	
"LOC100421948"	"1865564"	"1"	"1881452"	"12"	
"MT1IP"	"1855384"	"1"	"1881453"	"5"	
"CCDC41"	"1847972"	"1"	"1881454"	"6"	
"KRT86"	"1844852"	"1"	"1881455"	"5"	
"RPL18P3"	"1848835"	"1"	"1881456"	"7"	
"IRX3"	"1868373"	"1"	"1881457"	"4"	
"PPP2R3B"	"1875636"	"1"	"1881458"	"7"	
"LOC100422394"	"1838193"	"1"	"1881459"	"12"	
"AEBP1"	"1841415"	"1"	"1881460"	"5"	
"PP13"	"1839187"	"1"	"1881461"	"4"	
"FBXO43"	"1850586"	"1"	"1881462"	"6"	
"LOC100270680"	"1844880"	"1"	"1881463"	"12"	
"LOC100130803"	"1839129"	"1"	"1881464"	"12"	
"LOC653895"	"1877989"	"1"	"1881465"	"9"	
"RNU5B-5P"	"1875245"	"1"	"1881466"	"8"	
"IGKJ5"	"1841811"	"1"	"1881467"	"5"	
"SVOP"	"1849892"	"1"	"1881468"	"4"	
"PDCD6"	"1878305"	"1"	"1881469"	"5"	
"PIGAP1"	"1879056"	"1"	"1881470"	"6"	
"RPL26P26"	"1848466"	"1"	"1881471"	"8"	
"FRA6G"	"1863522"	"1"	"1881472"	"5"	
"LOC732275"	"1865934"	"1"	"1881473"	"9"	
"ASPG4"	"1845020"	"1"	"1881474"	"5"	
"SUV420H2"	"1865434"	"1"	"1881475"	"8"	
"SCML4"	"1854192"	"1"	"1881476"	"5"	
"AASTH18"	"1847322"	"1"	"1881477"	"7"	
"TRNAE24"	"1867387"	"1"	"1881478"	"7"	
"LOC100130348"	"1842841"	"1"	"1881479"	"12"	
